iter	RMSE
0	0.8875043472
1	0.8629354423
2	0.8388360475
3	0.8155275225
4	0.7934857928
5	0.7710178947
6	0.7496998768
7	0.7306663242
8	0.7108557117
9	0.6936898843
10	0.6769263255
11	0.6604209257
12	0.6452931895
13	0.6305139528
14	0.6165350525
15	0.6027589783
16	0.5912705143
17	0.5783369939
18	0.5670317814
19	0.5561956757
20	0.5461049234
21	0.5354405895
22	0.5258293558
23	0.516168354
24	0.5085407078
25	0.5000022427
26	0.4913670812
27	0.4838086368
28	0.4768442286
29	0.4707569395
30	0.4634713365
31	0.4571766888
32	0.4510915327
33	0.4452178931
34	0.4398731301
35	0.4344124635
36	0.4295690911
37	0.4248717149
38	0.4198579281
39	0.4155245034
40	0.4115251591
41	0.4077565306
42	0.4045387432
43	0.4012549456
44	0.3983317181
45	0.3953209227
46	0.3928362131
47	0.3899003653
48	0.3887671364
49	0.3860929689
50	0.3834783788
51	0.3821205628
52	0.38014006
53	0.3779670079
54	0.3756949833
55	0.3738877616
56	0.3721869986
57	0.3703029096
58	0.3686438615
59	0.3670566603
60	0.3656989716
61	0.3638712498
62	0.3626509694
63	0.3616873928
64	0.360509959
65	0.3595214623
66	0.3585906111
67	0.3575404816
68	0.3565508312
69	0.3557375705
70	0.354768847
71	0.3541321278
72	0.353891816
73	0.3529421741
74	0.3522446867
75	0.3513328664
76	0.3500388769
77	0.3494325336
78	0.3489438789
79	0.3482810833
80	0.3476684024
81	0.3470173921
82	0.3463222522
83	0.3457685834
84	0.345275689
85	0.344508025
86	0.3441042588
87	0.3436819958
88	0.3432211574
89	0.3425916243
90	0.3422782301
91	0.3419750215
92	0.3412326869
93	0.3406908533
94	0.3401275266
95	0.3397660759
96	0.3389588743
97	0.3385534931
98	0.3382906393
99	0.3379382164
100	0.3373349688
101	0.336910674
102	0.3366591117
103	0.3362275655
104	0.3359530476
105	0.3354709346
106	0.3349876374
107	0.3342166452
108	0.3337380639
109	0.333397099
110	0.3333661596
111	0.3328089667
112	0.3325795262
113	0.3323384785
114	0.3320244746
115	0.3316312914
116	0.3312915889
117	0.3311096869
118	0.3307913351
119	0.3305694525
120	0.3303771954
121	0.3302271957
122	0.3300111056
123	0.329646689
124	0.3293813217
125	0.3290321258
126	0.3287009268
127	0.3283512906
128	0.3277717944
129	0.3273563077
130	0.3271311612
131	0.3269493686
132	0.3265814463
133	0.3260776825
134	0.3258594342
135	0.3252739076
136	0.3251576088
137	0.324662117
138	0.3242609278
139	0.323721262
140	0.3235706545
141	0.3233158664
142	0.3230464728
143	0.3226355563
144	0.3224091379
145	0.3223885535
146	0.3222359268
147	0.3219250237
148	0.3215082621
149	0.3211818846
150	0.3210690249
151	0.3207862284
152	0.3206101253
153	0.3204287757
154	0.3203701361
155	0.3201984637
156	0.3196604838
157	0.3191685347
158	0.3187297955
159	0.3185479027
160	0.3178918452
161	0.3173546379
162	0.3170453456
163	0.3166883361
164	0.3165136652
165	0.3162431685
166	0.3158967321
167	0.3157708783
168	0.315134396
169	0.3147989138
170	0.3144166474
171	0.3140057794
172	0.3138594068
173	0.3137190391
174	0.3135310719
175	0.3134522138
176	0.3129908808
177	0.312842178
178	0.3123503088
179	0.3122857883
180	0.3119687375
181	0.3115613492
182	0.3113490467
183	0.3109525163
184	0.3107129724
185	0.3104127003
186	0.3101367139
187	0.3098327413
188	0.3095691766
189	0.3092186705
190	0.3088710001
191	0.3086984685
192	0.3084381944
193	0.3079933332
194	0.3078708482
195	0.3075275581
196	0.3070020465
197	0.3067326117
198	0.306435211
199	0.3062045349
200	0.3060755663
201	0.3057207159
202	0.30558951
203	0.3053608078
204	0.305041919
205	0.3049628294
206	0.3048079702
207	0.3042897303
208	0.3040528638
209	0.3035870097
210	0.3033011804
211	0.3032488203
212	0.3031512923
213	0.3029303288
214	0.3026875073
215	0.3023882388
216	0.3022811724
217	0.3020018025
218	0.3018040082
219	0.3015251793
220	0.3013736356
221	0.30120961
222	0.3011216458
223	0.3009461568
224	0.3008265163
225	0.300571056
226	0.3002239362
227	0.3000947034
228	0.2999183704
229	0.2995534145
230	0.2993301835
231	0.2989643266
232	0.2988265033
233	0.2986927614
234	0.298539118
235	0.2984654247
236	0.2981778239
237	0.2980001165
238	0.297928988
239	0.2978523535
240	0.2974552122
241	0.2973119546
242	0.2971891881
243	0.2970996021
244	0.2969089927
245	0.2965398519
246	0.2962906024
247	0.2962202148
248	0.2961292412
249	0.2959533029
250	0.2958005005
251	0.2956823069
252	0.2955194994
253	0.2954315099
254	0.2953177411
255	0.2951525965
256	0.2950807895
257	0.2949698566
258	0.2948076583
259	0.2946452632
260	0.2945368883
261	0.2942473328
262	0.2941377175
263	0.2938262538
264	0.2937219069
265	0.2936188095
266	0.2934275987
267	0.2933366583
268	0.2932051717
269	0.2931067234
270	0.2925784412
271	0.2920481398
272	0.2918910961
273	0.2916711562
274	0.2914788357
275	0.2912489808
276	0.2910432
277	0.2909215009
278	0.2904131557
279	0.2903172558
280	0.2900976846
281	0.2898913306
282	0.2897952063
283	0.289338238
284	0.2892469236
